record_id,crop,district,season,rainfall_mm,fertilizer_kg_ha,temperature_c,humidity_pct,soil_ph,yield_t_ha,data_source,is_synthetic
SYN-0001,maize,Bindura,2021/22,678.1,76.6,30.0,45.9,6.42,0.897,MundaSense deterministic synthetic demo generator v1,True
SYN-0002,maize,Plumtree,2024/25,574.5,32.1,24.9,69.6,5.91,2.124,MundaSense deterministic synthetic demo generator v1,True
SYN-0003,maize,Mutare,2024/25,796.1,206.0,25.5,67.8,5.63,3.179,MundaSense deterministic synthetic demo generator v1,True
SYN-0004,maize,Goromonzi,2021/22,203.4,301.6,24.0,72.2,7.31,0.953,MundaSense deterministic synthetic demo generator v1,True
SYN-0005,maize,Goromonzi,2024/25,467.1,169.8,22.3,56.3,5.96,3.553,MundaSense deterministic synthetic demo generator v1,True
SYN-0006,maize,Plumtree,2021/22,475.3,87.2,20.5,75.4,5.78,1.049,MundaSense deterministic synthetic demo generator v1,True
SYN-0007,maize,Bindura,2023/24,190.7,124.9,27.1,83.5,6.89,1.211,MundaSense deterministic synthetic demo generator v1,True
SYN-0008,maize,Mutare,2021/22,441.7,110.9,22.7,68.8,5.58,2.034,MundaSense deterministic synthetic demo generator v1,True
SYN-0009,maize,Chinhoyi,2022/23,450.7,157.6,34.6,59.2,5.67,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0010,maize,Bindura,2023/24,582.8,144.2,21.7,71.6,6.11,2.868,MundaSense deterministic synthetic demo generator v1,True
SYN-0011,maize,Masvingo,2023/24,825.9,84.2,21.2,87.4,6.1,0.478,MundaSense deterministic synthetic demo generator v1,True
SYN-0012,maize,Zvishavane,2022/23,574.7,56.1,26.7,56.1,6.29,2.378,MundaSense deterministic synthetic demo generator v1,True
SYN-0013,maize,Mutare,2024/25,429.3,114.5,29.8,64.9,7.61,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0014,maize,Plumtree,2024/25,609.5,75.5,25.3,59.1,6.34,3.399,MundaSense deterministic synthetic demo generator v1,True
SYN-0015,maize,Mutare,2021/22,814.1,42.0,26.9,60.3,4.39,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0016,maize,Plumtree,2023/24,439.4,64.9,19.4,70.0,6.33,1.326,MundaSense deterministic synthetic demo generator v1,True
SYN-0017,maize,Masvingo,2023/24,451.5,37.4,23.0,80.0,6.13,2.003,MundaSense deterministic synthetic demo generator v1,True
SYN-0018,maize,Chinhoyi,2022/23,723.3,91.2,21.8,85.0,6.13,3.427,MundaSense deterministic synthetic demo generator v1,True
SYN-0019,maize,Plumtree,2023/24,579.0,313.9,19.2,74.6,6.28,1.872,MundaSense deterministic synthetic demo generator v1,True
SYN-0020,maize,Goromonzi,2024/25,739.8,82.3,25.5,62.8,6.08,3.996,MundaSense deterministic synthetic demo generator v1,True
SYN-0021,maize,Masvingo,2024/25,617.5,81.4,18.1,92.0,6.06,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0022,maize,Gokwe South,2024/25,749.8,93.4,21.0,65.5,6.54,3.142,MundaSense deterministic synthetic demo generator v1,True
SYN-0023,maize,Chinhoyi,2023/24,428.5,215.8,23.4,62.5,5.71,2.308,MundaSense deterministic synthetic demo generator v1,True
SYN-0024,maize,Zvishavane,2022/23,617.8,310.5,22.5,52.3,5.42,2.442,MundaSense deterministic synthetic demo generator v1,True
SYN-0025,maize,Plumtree,2024/25,581.0,249.3,26.3,78.1,8.2,0.977,MundaSense deterministic synthetic demo generator v1,True
SYN-0026,maize,Mutare,2022/23,395.1,169.1,26.0,74.5,5.58,2.182,MundaSense deterministic synthetic demo generator v1,True
SYN-0027,maize,Goromonzi,2023/24,330.8,56.7,27.9,86.3,6.17,0.229,MundaSense deterministic synthetic demo generator v1,True
SYN-0028,maize,Plumtree,2022/23,746.9,171.3,27.4,52.3,5.02,2.303,MundaSense deterministic synthetic demo generator v1,True
SYN-0029,maize,Masvingo,2022/23,555.1,40.7,28.6,77.1,6.18,0.399,MundaSense deterministic synthetic demo generator v1,True
SYN-0030,maize,Goromonzi,2021/22,430.9,36.3,25.1,67.1,5.43,0.823,MundaSense deterministic synthetic demo generator v1,True
SYN-0031,maize,Goromonzi,2024/25,602.2,106.3,26.0,73.0,5.78,3.983,MundaSense deterministic synthetic demo generator v1,True
SYN-0032,maize,Chinhoyi,2021/22,828.7,98.8,26.7,50.5,6.85,2.728,MundaSense deterministic synthetic demo generator v1,True
SYN-0033,maize,Bindura,2021/22,198.1,88.6,25.5,79.3,6.44,0.659,MundaSense deterministic synthetic demo generator v1,True
SYN-0034,maize,Masvingo,2024/25,343.1,78.0,23.9,74.4,6.51,1.782,MundaSense deterministic synthetic demo generator v1,True
SYN-0035,maize,Zvishavane,2023/24,449.3,129.0,24.1,66.8,4.82,2.206,MundaSense deterministic synthetic demo generator v1,True
SYN-0036,maize,Bindura,2022/23,890.3,106.6,22.6,74.0,7.42,2.372,MundaSense deterministic synthetic demo generator v1,True
SYN-0037,maize,Plumtree,2023/24,672.3,153.8,26.4,58.6,5.24,2.616,MundaSense deterministic synthetic demo generator v1,True
SYN-0038,maize,Plumtree,2022/23,762.0,162.0,24.8,61.4,7.2,3.409,MundaSense deterministic synthetic demo generator v1,True
SYN-0039,maize,Gokwe South,2021/22,409.1,120.6,23.0,63.7,6.84,1.652,MundaSense deterministic synthetic demo generator v1,True
SYN-0040,maize,Mutare,2023/24,412.9,67.1,23.0,51.2,6.52,2.01,MundaSense deterministic synthetic demo generator v1,True
SYN-0041,maize,Chinhoyi,2021/22,702.8,66.8,21.3,76.8,5.48,2.395,MundaSense deterministic synthetic demo generator v1,True
SYN-0042,maize,Plumtree,2023/24,630.8,79.9,28.1,75.0,6.21,1.691,MundaSense deterministic synthetic demo generator v1,True
SYN-0043,maize,Mutare,2024/25,721.5,120.2,25.3,59.9,5.76,3.317,MundaSense deterministic synthetic demo generator v1,True
SYN-0044,maize,Gokwe South,2024/25,585.3,148.6,22.4,71.4,6.12,3.318,MundaSense deterministic synthetic demo generator v1,True
SYN-0045,maize,Bindura,2022/23,671.5,69.4,27.6,62.3,5.92,2.714,MundaSense deterministic synthetic demo generator v1,True
SYN-0046,maize,Zvishavane,2024/25,649.3,201.9,23.4,70.6,4.63,2.198,MundaSense deterministic synthetic demo generator v1,True
SYN-0047,maize,Goromonzi,2023/24,763.9,87.5,20.7,63.8,6.91,2.906,MundaSense deterministic synthetic demo generator v1,True
SYN-0048,maize,Zvishavane,2022/23,769.3,19.2,28.3,56.3,6.04,1.102,MundaSense deterministic synthetic demo generator v1,True
SYN-0049,maize,Mutare,2021/22,320.3,273.5,23.4,77.1,5.75,1.895,MundaSense deterministic synthetic demo generator v1,True
SYN-0050,maize,Plumtree,2022/23,204.3,103.7,23.8,66.7,5.7,1.176,MundaSense deterministic synthetic demo generator v1,True
SYN-0051,maize,Plumtree,2023/24,805.3,163.4,25.2,84.5,6.36,2.695,MundaSense deterministic synthetic demo generator v1,True
SYN-0052,maize,Chinhoyi,2024/25,839.7,29.0,28.6,64.4,5.46,0.357,MundaSense deterministic synthetic demo generator v1,True
SYN-0053,maize,Gokwe South,2021/22,431.2,62.6,25.2,58.1,4.48,1.246,MundaSense deterministic synthetic demo generator v1,True
SYN-0054,maize,Goromonzi,2023/24,275.9,81.9,21.4,80.1,6.39,0.86,MundaSense deterministic synthetic demo generator v1,True
SYN-0055,maize,Goromonzi,2024/25,638.3,41.3,26.8,70.9,6.47,3.469,MundaSense deterministic synthetic demo generator v1,True
SYN-0056,maize,Bindura,2024/25,792.2,86.2,23.6,74.0,5.96,3.074,MundaSense deterministic synthetic demo generator v1,True
SYN-0057,maize,Masvingo,2022/23,952.6,76.3,31.0,73.0,5.27,0.15,MundaSense deterministic synthetic demo generator v1,True
